"Elevation","mde_mean","mde_sd","mde_min","mde_max","site"
400,108.8915,9.26269439746071,73,147,"Morni"
500,199.4423,11.1388274992391,156,245,"Morni"
600,267.4689,11.9219900257724,222,313,"Morni"
700,312.8312,11.9833996322694,269,362,"Morni"
800,335.5752,11.7027620852533,293,381,"Morni"
900,335.5859,11.8372477051603,277,386,"Morni"
1000,312.8307,11.9530383176204,271,355,"Morni"
1100,267.5104,11.9304872277937,225,313,"Morni"
1200,199.5569,11.3297660500945,156,240,"Morni"
1300,108.8535,9.30969950108381,78,143,"Morni"
1000,60.7732,7.07818987009982,38,90,"Chail"
1100,113.1813,8.78224020875701,80,147,"Chail"
1200,154.9399,9.43850605390774,118,186,"Chail"
1300,186.3223,9.64589690193215,154,223,"Chail"
1400,207.1523,9.67216934280927,170,243,"Chail"
1500,217.5054,9.62484465347157,178,260,"Chail"
1600,217.5186,9.74465750424239,180,255,"Chail"
1700,207.1453,9.68217756324664,168,240,"Chail"
1800,186.1305,9.7797052109663,148,223,"Chail"
1900,154.7958,9.69508647873669,110,189,"Chail"
2000,112.9978,8.99409164554447,76,147,"Chail"
2100,60.74,7.21483231825509,35,88,"Chail"
1700,61.1888,7.35556693916245,33,91,"Churdhar"
1800,116.589,9.60881428331265,76,154,"Churdhar"
1900,164.9518,10.845009828664,127,202,"Churdhar"
2000,206.5009,11.4043151934039,165,250,"Churdhar"
2100,241.0285,11.8161436126592,200,288,"Churdhar"
2200,268.7267,11.7987596035693,226,316,"Churdhar"
2300,289.5929,11.7060357387662,248,338,"Churdhar"
2400,303.3874,11.7124651301057,256,355,"Churdhar"
2500,310.1485,11.6764841359965,263,356,"Churdhar"
2600,310.2636,11.5957302976619,270,360,"Churdhar"
2700,303.245,11.7488373262145,256,346,"Churdhar"
2800,289.3951,11.7697259371178,247,333,"Churdhar"
2900,268.6325,11.8460321035214,228,318,"Churdhar"
3000,241.0382,11.9021723618293,192,289,"Churdhar"
3100,206.3398,11.560583924269,160,248,"Churdhar"
3200,164.9094,10.9505517257492,121,207,"Churdhar"
3300,116.4959,9.70561708961924,80,154,"Churdhar"
3400,61.0884,7.43643163698485,36,90,"Churdhar"
400,74.2078,8.33332848244683,43,105,"All"
500,144.1133,11.1600142339412,107,190,"All"
600,209.0999,12.9688989210311,161,256,"All"
700,269.3869,14.215463985802,213,327,"All"
800,324.712,15.1412146685186,273,385,"All"
900,375.4543,15.745999655802,322,434,"All"
1000,421.1915,16.2957412494273,352,491,"All"
1100,462.2381,16.5829523252279,396,528,"All"
1200,498.3497,16.8159712059328,439,561,"All"
1300,529.7558,16.9011754423511,473,592,"All"
1400,556.2754,16.9587356460165,495,618,"All"
1500,578.0312,16.9125228722089,507,641,"All"
1600,594.9079,16.9926011086956,529,659,"All"
1700,606.8563,17.0297049708778,543,672,"All"
1800,613.9988,16.9394537417624,547,677,"All"
1900,616.5597,16.9012899291778,560,681,"All"
2000,614.1095,16.8713062282499,554,676,"All"
2100,606.8827,16.9787917310645,540,667,"All"
2200,594.9241,16.9620019496819,527,652,"All"
2300,578.1577,16.8929265613386,505,644,"All"
2400,556.5752,16.8878318574791,493,617,"All"
2500,530.0276,16.9680944676468,458,600,"All"
2600,498.7484,16.8398353746569,425,561,"All"
2700,462.5668,16.5548646661461,394,519,"All"
2800,421.603,16.1844179548865,360,483,"All"
2900,375.7791,15.7858741465988,321,446,"All"
3000,325.0425,15.2871731695677,269,386,"All"
3100,269.5496,14.4682021249108,215,323,"All"
3200,209.2125,13.0517883321737,157,261,"All"
3300,144.2227,11.3200140892977,105,186,"All"
3400,74.1976,8.31556787639369,48,105,"All"
