elevation,mde_mean,mde_sd,mde_min,mde_max,site
400,108.8915,9.262694397,73,147,Morni
500,199.4423,11.1388275,156,245,Morni
600,267.4689,11.92199003,222,313,Morni
700,312.8312,11.98339963,269,362,Morni
800,335.5752,11.70276209,293,381,Morni
900,335.5859,11.83724771,277,386,Morni
1000,312.8307,11.95303832,271,355,Morni
1100,267.5104,11.93048723,225,313,Morni
1200,199.5569,11.32976605,156,240,Morni
1300,108.8535,9.309699501,78,143,Morni
1000,60.7732,7.07818987,38,90,Chail
1100,113.1813,8.782240209,80,147,Chail
1200,154.9399,9.438506054,118,186,Chail
1300,186.3223,9.645896902,154,223,Chail
1400,207.1523,9.672169343,170,243,Chail
1500,217.5054,9.624844653,178,260,Chail
1600,217.5186,9.744657504,180,255,Chail
1700,207.1453,9.682177563,168,240,Chail
1800,186.1305,9.779705211,148,223,Chail
1900,154.7958,9.695086479,110,189,Chail
2000,112.9978,8.994091646,76,147,Chail
2100,60.74,7.214832318,35,88,Chail
1700,61.1888,7.355566939,33,91,Churdhar
1800,116.589,9.608814283,76,154,Churdhar
1900,164.9518,10.84500983,127,202,Churdhar
2000,206.5009,11.40431519,165,250,Churdhar
2100,241.0285,11.81614361,200,288,Churdhar
2200,268.7267,11.7987596,226,316,Churdhar
2300,289.5929,11.70603574,248,338,Churdhar
2400,303.3874,11.71246513,256,355,Churdhar
2500,310.1485,11.67648414,263,356,Churdhar
2600,310.2636,11.5957303,270,360,Churdhar
2700,303.245,11.74883733,256,346,Churdhar
2800,289.3951,11.76972594,247,333,Churdhar
2900,268.6325,11.8460321,228,318,Churdhar
3000,241.0382,11.90217236,192,289,Churdhar
3100,206.3398,11.56058392,160,248,Churdhar
3200,164.9094,10.95055173,121,207,Churdhar
3300,116.4959,9.70561709,80,154,Churdhar
3400,61.0884,7.436431637,36,90,Churdhar
400,74.2078,8.333328482,43,105,All
500,144.1133,11.16001423,107,190,All
600,209.0999,12.96889892,161,256,All
700,269.3869,14.21546399,213,327,All
800,324.712,15.14121467,273,385,All
900,375.4543,15.74599966,322,434,All
1000,421.1915,16.29574125,352,491,All
1100,462.2381,16.58295233,396,528,All
1200,498.3497,16.81597121,439,561,All
1300,529.7558,16.90117544,473,592,All
1400,556.2754,16.95873565,495,618,All
1500,578.0312,16.91252287,507,641,All
1600,594.9079,16.99260111,529,659,All
1700,606.8563,17.02970497,543,672,All
1800,613.9988,16.93945374,547,677,All
1900,616.5597,16.90128993,560,681,All
2000,614.1095,16.87130623,554,676,All
2100,606.8827,16.97879173,540,667,All
2200,594.9241,16.96200195,527,652,All
2300,578.1577,16.89292656,505,644,All
2400,556.5752,16.88783186,493,617,All
2500,530.0276,16.96809447,458,600,All
2600,498.7484,16.83983537,425,561,All
2700,462.5668,16.55486467,394,519,All
2800,421.603,16.18441795,360,483,All
2900,375.7791,15.78587415,321,446,All
3000,325.0425,15.28717317,269,386,All
3100,269.5496,14.46820212,215,323,All
3200,209.2125,13.05178833,157,261,All
3300,144.2227,11.32001409,105,186,All
3400,74.1976,8.315567876,48,105,All
